Description,Revenue,Group
"PAPER CRAFT , LITTLE BIRDIE",168469.6,Top 20%
REGENCY CAKESTAND 3 TIER,118265.65,Top 20%
MEDIUM CERAMIC TOP STORAGE JAR,80514.47,Top 20%
WHITE HANGING HEART T-LIGHT HOLDER,78147.25,Top 20%
JUMBO BAG RED RETROSPOT,70259.31,Top 20%
POSTAGE,56605.14,Top 20%
PARTY BUNTING,52332.530000000006,Top 20%
Manual,47747.35,Top 20%
RABBIT NIGHT LIGHT,43873.01,Top 20%
CHILLI LIGHTS,40594.91,Top 20%
REGENCY CAKESTAND 3 TIER,24327.3,Bottom 80%
WHITE HANGING HEART T-LIGHT HOLDER,22300.9,Bottom 80%
POSTAGE,21198.82,Bottom 80%
PARTY BUNTING,16511.8,Bottom 80%
ASSORTED COLOUR BIRD ORNAMENT,16315.64,Bottom 80%
JUMBO BAG RED RETROSPOT,14961.47,Bottom 80%
PAPER CHAIN KIT 50'S CHRISTMAS ,12861.900000000001,Bottom 80%
NATURAL SLATE HEART CHALKBOARD ,8615.35,Bottom 80%
HOT WATER BOTTLE KEEP CALM,8418.300000000001,Bottom 80%
BAKING SET 9 PIECE RETROSPOT ,8404.35,Bottom 80%
