CustomerID,Recency,Frequency,Monetary,Segment
12346,326,1,77183.6,Lost
12347,40,7,4310.0,Champion
12348,76,4,1797.24,At Risk
12349,19,1,1757.55,Other
12350,311,1,334.4,Lost
12352,73,8,2506.04,At Risk
12353,204,1,89.0,Lost
12354,233,1,1079.4,Lost
12355,96,1,459.4,At Risk
12356,23,3,2811.43,Other
12357,182,1,6207.67,Lost
12358,3,2,1168.06,Other
12359,9,4,6372.58,Other
12360,53,3,2662.06,Other
12361,288,1,189.9,Lost
12362,30,10,5226.23,Champion
12363,36,2,552.0,Other
12364,41,4,1313.1,Other
12365,292,2,641.38,Lost
12367,212,1,168.9,Lost
12370,52,4,3545.69,Other
12371,30,2,1887.96,Other
12372,35,3,1298.04,Other
12373,342,1,364.6,Lost
12374,26,1,742.9300000000001,Other
12375,11,2,457.5,Other
12377,316,2,1628.12,Lost
12378,305,1,4008.62,Lost
12379,82,2,852.24,At Risk
12380,22,4,2724.81,Other
12381,0,5,1845.31,Other
12383,9,5,1850.56,Other
12384,29,2,585.27,Other
12386,192,2,401.9,Lost
12388,16,6,2780.66,Champion
12390,80,1,549.84,At Risk
12391,22,1,460.89,Other
12393,39,4,1582.6000000000001,Other
12394,153,2,1272.48,At Risk
12395,5,12,3018.63,Champion
12397,136,2,2409.9,At Risk
12398,46,1,1635.6599999999999,Other
12399,2,4,1108.65,Other
12401,99,1,84.3,At Risk
12402,324,1,225.6,Lost
12403,50,1,427.7,Other
12405,149,1,1710.39,At Risk
12406,22,2,3415.3,Other
12407,50,5,1708.1200000000001,Other
12408,152,5,2888.55,At Risk
12409,65,3,11072.67,At Risk
12410,252,2,693.3299999999999,Lost
12412,75,3,1226.88,At Risk
12413,192,3,758.1,Lost
12414,188,3,562.41,Lost
12415,25,21,124914.53,Champion
12417,40,9,3649.1,Champion
12418,113,1,668.58,At Risk
12420,153,1,600.39,At Risk
12421,16,4,807.04,Other
12422,169,3,803.5600000000001,At Risk
12423,89,8,1859.31,At Risk
12424,163,2,1760.96,At Risk
12425,78,1,777.2,At Risk
12426,195,1,582.73,Lost
12427,22,3,825.8,Other
12428,26,9,7956.46,Champion
12429,9,4,3750.4,Other
12430,44,1,256.4,Other
12431,2,15,6487.45,Champion
12432,43,5,5059.32,Other
12433,10,7,13375.87,Champion
12434,85,2,806.14,At Risk
12435,80,2,7829.89,At Risk
12436,335,1,509.01,Lost
12437,9,18,4951.41,Champion
12438,15,2,2906.85,Other
12441,485,1,173.55,Lost
12442,181,1,172.06,Lost
12444,0,5,5005.46,Other
12445,22,1,133.4,Other
12446,58,1,1002.3100000000001,Other
12447,67,1,476.49,At Risk
12448,45,1,449.45,Other
12449,23,4,4067.29,Other
12450,174,2,197.88,At Risk
12451,11,5,9035.52,Other
12452,17,2,430.57,Other
12453,135,1,707.09,At Risk
12454,57,1,3528.34,Other
12455,74,6,2466.86,At Risk
12456,45,3,3181.04,Other
12457,82,7,2363.23,At Risk
12458,72,2,947.4,At Risk
12461,125,2,826.88,At Risk
12462,19,2,1189.59,Other
12463,6,4,1344.78,Other
12464,11,8,1212.05,Champion
12465,18,2,742.1899999999999,Other
12468,218,2,729.5400000000001,Lost
12471,11,30,19824.05,Champion
12472,52,7,6572.11,Champion
12473,54,5,3938.5499999999997,Other
12474,3,18,7375.79,Champion
12475,54,1,723.38,Other
12476,16,11,6816.42,Champion
12477,23,6,13219.74,Champion
12478,181,1,680.99,Lost
12479,12,1,527.2,Other
12480,29,4,3281.63,Other
12481,23,10,5596.32,Champion
12483,18,8,2484.98,Champion
12484,101,6,4541.72,At Risk
12488,10,3,1298.66,Other
12489,162,1,334.93,At Risk
12490,18,10,5417.93,Champion
12491,333,1,460.40000000000003,Lost
12492,106,2,263.21000000000004,At Risk
12493,166,2,433.74,At Risk
12494,16,7,1246.1000000000001,Champion
12497,82,1,1043.1,At Risk
12498,22,3,403.70000000000005,Other
12500,24,11,4257.82,Champion
12501,162,1,2169.39,At Risk
12502,188,5,3723.87,Lost
12504,19,2,482.04999999999995,Other
12506,233,1,73.5,Lost
12507,135,3,1304.81,At Risk
12508,27,2,398.27,Other
12509,285,1,176.5,Lost
12510,143,2,982.5699999999999,At Risk
12512,244,2,138.03,Lost
12513,113,1,612.29,At Risk
12514,268,1,1017.68,Lost
12515,354,1,383.7,Lost
12516,4,2,1312.06,Other
12517,29,5,2502.84,Other
12518,0,5,2056.89,Other
12519,153,1,340.84,At Risk
12520,37,5,2634.26,Other
12521,143,1,599.68,At Risk
12522,40,2,192.72,Other
12523,9,11,1789.77,Champion
12524,10,8,4485.72,Champion
12526,54,3,1316.66,Other
12527,82,3,348.71000000000004,At Risk
12528,10,6,1933.48,Champion
12530,30,4,1662.28,Other
12531,15,1,125.22,Other
12532,90,1,349.83000000000004,At Risk
12534,336,1,1089.18,Lost
12535,92,2,716.35,At Risk
12536,30,3,12601.830000000002,Other
12538,60,1,363.95,Other
12539,23,4,5568.35,Other
12540,20,17,13400.24,Champion
12541,60,3,981.18,Other
12544,274,1,372.7,Lost
12545,76,2,1000.39,At Risk
12546,47,2,1161.5,Other
12547,198,2,207.79999999999998,Lost
12548,167,1,95.19999999999999,At Risk
12550,80,1,964.83,At Risk
12551,358,1,168.0,Lost
12552,40,2,437.82,Other
12553,0,10,3692.28,Champion
12556,33,2,603.71,Other
12557,17,5,11990.960000000001,Other
12558,301,1,269.96,Lost
12559,311,2,561.71,Lost
12560,113,3,2134.01,At Risk
12561,69,1,238.85,At Risk
12562,23,7,3781.7400000000002,Champion
12564,262,1,456.9,Lost
12565,289,1,145.92,Lost
12566,87,1,351.65,At Risk
12567,23,10,9401.28,Champion
12569,0,32,4124.69,Champion
12571,40,2,519.61,Other
12572,52,2,1020.42,Other
12573,228,1,160.54000000000002,Lost
12574,316,1,218.45,Lost
12576,130,5,1315.83,At Risk
12577,243,3,657.8,Lost
12578,22,2,2794.51,Other
12579,79,1,440.42,At Risk
12580,159,1,415.7,At Risk
12581,40,1,197.71,Other
12582,239,2,511.36,Lost
12583,0,15,7281.38,Champion
12584,18,9,2338.15,Champion
12585,235,2,2040.1,Lost
12586,18,1,196.94000000000003,Other
12587,301,1,144.0,Lost
